Timestamp,Temperature(C),Humidity(%),WetBulbTemperature(C),GlobeTemperature(C),WBGT(C),Classification
2026-07-24T12:00:00,44.1,27.3,28.4,60.9,38.15,DANGER
2026-07-24T13:00:00,38.3,52.8,29.8,53.9,37.03,DANGER
2026-07-24T14:00:00,28.6,67.9,24.4,30.3,26.17,SAFE
2026-07-24T16:00:00,29.2,56.3,22.6727,30.4,24.9909,SAFE
2026-07-24T17:00:00,42.1,26.22,26.318,58.4,35.9426,DANGER
2026-07-24T18:00:00,31.1,47.95,22.868,36.2,26.8676,CAUTION
2026-07-24T21:00:00,26.6,62.25,19.8,32.5,23.61,SAFE
2026-07-24T22:00:00,30.7,60.4,24.7,45.8,31.03,WARNING
2026-07-24T23:00:00,24.9,62.3,19.8,28.4,22.38,SAFE
2026-07-25T00:00:00,28.8,60.1,22.9,41.6,28.51,CAUTION
2026-07-25T01:00:00,23.2,76.27,18.6,26.2,20.88,SAFE
2026-07-25T05:00:00,29.2,54.1,22.3067,40.9,27.8847,CAUTION
2026-07-25T06:00:00,29.0,55.1,22.8,38.1,27.39,CAUTION
2026-07-25T07:00:00,39.7,43.2,28.8,57.1,37.29,DANGER
2026-07-25T09:00:00,27.1,60.4,21.4512,27.5,23.2658,SAFE
2026-07-25T10:00:00,34.2,33.8,22.4,46.2,29.54,WARNING
2026-07-25T11:00:00,41.3,32.9,28.2,57.9,37.11,DANGER
2026-07-25T13:00:00,36.5,48.8,27.5,41.3,31.64,DANGER
2026-07-25T14:00:00,32.9,61.0,26.5,34.9,29.02,CAUTION
2026-07-25T15:00:00,45.4,42.5,33.6422,64.9,43.0195,DANGER
2026-07-25T17:00:00,37.8,62.3,31.7,44.8,35.63,DANGER
2026-07-25T18:00:00,43.0,48.4,33.1,61.0,41.47,DANGER
2026-07-25T20:00:00,33.0,42.0,23.1,46.8,30.21,WARNING
2026-07-25T23:00:00,31.7,50.1,23.4,35.3,26.97,CAUTION
2026-07-26T00:00:00,31.2,55.3,24.4,45.6,30.76,WARNING
2026-07-26T01:00:00,24.7,69.69,18.3,25.7,20.52,SAFE
2026-07-26T02:00:00,19.1,47.0,12.6,20.3,14.91,SAFE
2026-07-26T03:00:00,36.3,53.5,28.0,54.5,35.95,DANGER
2026-07-26T04:00:00,33.7,41.7,23.8168,51.0,31.9718,DANGER
2026-07-26T05:00:00,35.3,38.7,24.467,52.0,32.7269,DANGER
2026-07-26T06:00:00,34.8,48.2,25.9,49.7,33.04,DANGER
2026-07-26T07:00:00,26.4,62.99,21.2103,28.9,23.5172,SAFE
2026-07-26T08:00:00,35.9,47.5,27.2,50.4,34.16,DANGER
2026-07-26T09:00:00,31.3,44.0,22.6,31.9,25.39,SAFE
2026-07-26T10:00:00,31.7,44.6,22.7,41.3,28.28,CAUTION
2026-07-26T11:00:00,31.2,47.68,22.9026,32.2,25.6918,SAFE
2026-07-26T12:00:00,28.2,45.1,19.8,29.8,22.8,SAFE
2026-07-26T13:00:00,32.9,43.3,25.6,40.6,30.1,WARNING
2026-07-26T14:00:00,39.3,33.6,26.1,53.9,34.44,DANGER
2026-07-26T15:00:00,29.7,46.8,21.4,32.0,24.58,SAFE
2026-07-26T16:00:00,33.5,46.6,24.6456,36.2,28.1119,CAUTION
2026-07-26T17:00:00,36.4,48.6,27.4,50.4,34.3,DANGER
2026-07-26T21:00:00,25.6,66.05,18.5,26.6,20.93,SAFE
2026-07-26T22:00:00,25.2,58.8,19.4,28.2,22.04,SAFE
2026-07-26T23:00:00,32.2,47.6,23.9,47.4,30.95,WARNING
2026-07-27T00:00:00,27.0,60.8,20.5,42.3,27.04,CAUTION
2026-07-27T01:00:00,25.8,46.2,18.2,32.3,22.43,SAFE
2026-07-27T02:00:00,23.5,64.1,18.6,25.6,20.7,SAFE
2026-07-27T03:00:00,36.9,39.5,25.9433,52.3,33.8503,DANGER
2026-07-27T04:00:00,28.5,72.3,24.5457,30.0,26.182,SAFE
2026-07-27T05:00:00,50.0,47.9,38.7,77.3,50.28,DANGER
2026-07-27T06:00:00,35.9,36.63,27.5,51.4,34.67,DANGER
2026-07-27T08:00:00,27.5,53.7,20.5,28.0,22.75,SAFE
2026-07-27T09:00:00,29.0,53.7,22.3,30.7,24.82,SAFE
2026-07-27T10:00:00,36.0,42.7,26.2,38.0,29.74,WARNING
2026-07-27T11:00:00,33.3,42.33,23.2,48.0,30.64,WARNING
2026-07-27T12:00:00,39.9,31.2,26.7,59.1,36.42,DANGER
2026-07-27T14:00:00,36.4,36.3,24.6,52.2,32.88,DANGER
2026-07-27T15:00:00,40.3,46.4,30.6,58.5,38.97,DANGER
2026-07-27T16:00:00,44.8,86.9,42.5,70.1,50.78,DANGER
2026-07-27T17:00:00,45.6,87.2,43.2,68.4,50.76,DANGER
2026-07-27T18:00:00,45.1,87.9,43.3,65.4,49.93,DANGER
2026-07-27T19:00:00,47.2,81.6,43.9,69.6,51.61,DANGER
2026-07-27T20:00:00,19.9,22.4,9.7,19.9,12.76,SAFE
2026-07-27T23:00:00,18.4,21.4,8.2,18.8,11.38,SAFE
